OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
67991,Destroyed (>50%),3550.0,Mt. Veeder,Road,Unincorporated,CA,0.0,LNU,Napa,,10/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,22679.0,1944.0,3525 MOUNT VEEDER RD,38.3869698630131,-122.434612304421
26435,No Damage,134.0,Falcon Ridge,,,CA,,ORC,Orange,Irvine ,10/26/2020 12:00:00 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,,Tile,No Eaves,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,,,,33.6996723840347,-117.708348057695
45733,Destroyed (>50%),6265.0,Azalea,Lane,Paradise Northwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,92754.0,1940.0,6265  AZALEA LN   PARADISE CA 95969,39.7728612648801,-121.602733367138
40812,Destroyed (>50%),6651.0,Lincoln ,Drive,Paradise Northwest B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,,,179563.0,1978.0,6651  LINCOLN DR   PARADISE CA 95969,39.7878216758538,-121.599849925094
64949,Destroyed (>50%),0.0,Socrates Mine ,,Anderson Springs ,CA,0.0,LNU,Lake,,9/12/2015 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unknown,Screened,Fire Resistant,, , , ,,,,72221.0,,10641 SOCRATES MINE RD MIDDLETOWN CA 95461,38.7832147379763,-122.706921258441
80804,Destroyed (>50%),7117.0,Winding ,Way,Grizzly Flats,CA,95636.0,AEU,El Dorado,Grizzly Flats,8/14/2021 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,1.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,,139562.0,,7117 WINDING WAY GRIZZLY FLATS CA 95636,38.6421716741312,-120.523384347988
115699,Destroyed (>50%),2487.0,Highland ,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Tile,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,351568.0,1930.0,"2487 HIGHLAND AVE, ALTADENA, CA 91001",34.1885752,-118.1247678
34220,Destroyed (>50%),1437.0,Rim Rock,Drive,Unincorporated,CA,,BTU,Butte,Chico,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,,Tile,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,Non Combustible,,,460000.0,1980.0,1437  RIM ROCK DR   CHICO CA 95926,39.7068164892575,-121.74267155576
101796,No Damage,3658.0,Monterosa,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,,<30',205005.0,1958.0,"3658 MONTEROSA DR, ALTADENA, CA 91001",34.2064544,-118.1313773
59703,Destroyed (>50%),4955.0,Bear Valley ,Road,Mariposa,CA,95338.0,MMU,Mariposa,Bear Valley,7/16/2017 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Fire Resistant,Unknown,Unknown,Unknown,Unknown, , , ,,,,67827.0,,4955 BEAR VALLEY RD MARIPOSA CA 95338,37.5726770107358,-120.124531009874
