Unnamed: 0.1,Unnamed: 0,_Damage,_Street_Number,_Street_Name,_Street_Type_eg_road_drive_lane_etc,_City,_CAL_FIRE_Unit,Incident_Start_Date,_Structure_Type,Structure_Category,_Roof_Construction,_Eaves,_Vent_Screen,_Exterior_Siding,_Window_Pane,_DeckPorch_On_Grade,_DeckPorch_Elevated,_Patio_CoverCarport_Attached_to_Structure,_Fence_Attached_to_Structure,Assessed_Improved_Value_parcel,Year_Built_parcel,Latitude,Longitude
1119,1119,No Damage,0.0,Old School House,Road,Zenia,HUU,8/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,46130.0,1966.0,40.0394035806813,-123.412275027493
6523,6523,Destroyed (>50%),640.0,Via De La Paz,Unknown,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,857889.0,1991.0,34.041442,-118.5280678
3827,3827,Destroyed (>50%),102.0,Magnolia ,Drive,Paradise Central Southwest A,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,148581.0,1999.0,39.7445064488103,-121.619775603735
5426,5426,No Damage,416.0,Owl Ridge,Unknown,Unknown,CZU,8/16/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,520200.0,2001.0,37.187094152914,-122.152846874338
6983,6983,Destroyed (>50%),3718.0,Glenrose,Avenue,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,69832.0,1950.0,34.2048056,-118.1431315
9355,9355,Destroyed (>50%),235.0,Mountain View ,Street,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,55494.0,1947.0,34.1887614,-118.1553732
4377,4377,Destroyed (>50%),403.0,Ventura ,Street,Altadena,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,77107.0,1906.0,34.1912434,-118.1579782
5148,5148,Destroyed (>50%),5766.0,Fairway Knoll,Court,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Multi Family Residence Multi Story,Single Residence,Fire Resistant,Unenclosed,Screened,Combustible,Multi Pane, , , ,No Fence,417000.0,1966.0,38.4918471607976,-122.710614195743
5279,5279,Destroyed (>50%),13629.0,Skyway ,Road,Magalia,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,92950.0,1972.0,39.8030118683788,-121.579432191562
5537,5537,Destroyed (>50%),74.0,E Pine,Street,Altadena,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,256009.0,1986.0,34.1946703,-118.1455196
254,254,No Damage,989.0,N. Valley ,Road,Greenville,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,116168.0,1966.0,40.1497505077303,-120.940469108879
3167,3167,Destroyed (>50%),11044.0,Wingfield,Lane,Unincorporated,SHU,7/23/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,113520.0,1960.0,40.6068964524929,-122.503066373387
185,185,Destroyed (>50%),13981.0,Jarvis,Circle,Magalia,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,178197.0,1980.0,39.8183323221539,-121.598719690855
5207,5207,No Damage,956.0,E Mount Curve,Avenue,Altadena,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,102022.0,1937.0,34.2005377,-118.1296515
7807,7807,Destroyed (>50%),7775.0,Mill Creek ,Road,Unknown,LNU,8/16/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,1311113.0,1991.0,38.6066301743631,-122.975263562086
9584,9584,Destroyed (>50%),12105.0,Henno,Road,Unincorporated,LNU,10/8/2017 12:00:00 AM,Single Family Residence Single Story,Single Residence,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Fire Resistant,Multi Pane, , , ,No Fence,272654.0,1963.0,38.38455205539,-122.527598513091
7046,7046,Destroyed (>50%),420.0,E Las Flores ,Drive,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,181530.0,1925.0,34.1965088,-118.1370734
4972,4972,Destroyed (>50%),3267.0,Tonia ,Avenue,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,94556.0,1947.0,34.200103,-118.1418474
8468,8468,No Damage,0.0,Unknown,Unknown,Unknown,BEU,8/16/2020 12:00:00 AM,Motor Home,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,375326.0,1986.0,36.5895856738649,-121.635875961249
6484,6484,Destroyed (>50%),20260.0,Inland,Lane,Malibu,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,137751.0,1971.0,34.0384259,-118.6135371
5287,5287,Destroyed (>50%),580.0,Lommel,Road,Unknown,LNU,9/27/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,54139901.0,1907.0,38.5805043189741,-122.508438353583
4615,4615,No Damage,941.0,Morada ,Place,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,162869.0,1921.0,34.1804479,-118.1308013
6095,6095,Destroyed (>50%),537.0,Main ,Street,Greenville,LMU,7/13/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,15724.0,1966.0,40.142104893165,-120.94715209579
5103,5103,Destroyed (>50%),28.0,Horseshoe,Trail,Unknown,BTU,9/9/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,26010.0,2014.0,39.6242144065943,-121.383750566136
2606,2606,No Damage,435806.0,Riverveiw,Drive,Doyle ,LMU,11/17/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,108912.0,2006.0,40.0351989573156,-120.109947119951
